a00;colera
q998;outras anomalias cromossomicas especificadas
q999;anomalia cromossomica nao especificada
r00;anormalidades batimento cardiaco
r000;taquicardia nao especificada
r001;bradicardia nao especificada
r002;palpitacoes
r008;outras anormalidades nao especificadas batimento cardiaco
r01;sopros outros ruidos cardiacos
r010;sopros cardiacos benignos inocentes
r011;sopro cardiaco nao especificado
r012;outros ruidos cardiacos
r02;gangrena nao classificada outra parte
r03;valor anormal pressao arterial sem diagnostico
r030;valor elevado pressao arterial sem diagnostico hipertensao
r031;valor baixo pressao arterial nao especifico
r04;hemorragia vias respiratorias
r040;epistaxis
r041;hemorragia garganta
r042;hemoptise
r048;hemorragia outras localizacoes vias respiratorias
r049;hemorragia nao especificada vias respiratorias
r05;tosse
r06;anormalidades respiracao
r060;dispneia
r061;estridor
r062;respiracao ofegante
r063;respiracao periodica
r064;hiperventilacao
r065;respiracao pela boca
r066;soluco
r067;espirro
r068;outras anormalidades nao especificadas respiracao
r07;dor garganta peito
r070;dor garganta
r071;dor toracica ao respirar
r072;dor precordial
r073;outra dor toracica
r074;dor toracica nao especificada
r09;outros sintomas sinais relativos aos aparelhos circulatorio respiratorio
r090;asfixia
r091;pleurisia
r092;parada respiratoria
r093;escarro anormal
r098;outros sintomas sinais especificados relativos aos aparelhos circulatorio respiratorio
r10;dor abdominal pelvica
r100;abdome agudo
r101;dor localizada abdome superior
r102;dor pelvica perineal
r103;dor localizada outras partes abdome inferior
r104;outras dores abdominais nao especificadas
r11;nausea vomitos
r12;pirose
r13;disfagia
r14;flatulencia afeccoes correlatas
r15;incontinencia fecal
r16;hepatomegalia esplenomegalia nao classificadas outra parte
r160;hepatomegalia nao classificada outra parte
r161;esplenomegalia nao classificada outra parte
r162;hepatomegalia esplenomegalia nao classificada outra parte
r17;ictericia nao especificada
r18;ascite
r19;outros sintomas sinais relativos ao aparelho digestivo ao abdome
r190;massa tumoracao tumefacao intra abdominal pelvica
r191;ruidos hidroaereos anormais
r192;peristaltismo visivel
r193;rigidez abdominal
r194;alteracao habito intestinal
r195;outras anormalidades fecais
r196;halitose
r198;outros sintomas sinais especificados relativos ao aparelho digestivo ao abdome
r20;disturbios sensibilidade cutanea
r200;anestesia cutanea
r201;hipoestesia cutanea
r202;parestesias cutaneas
r203;hiperestesia
r208;outros disturbios nao especificadas sensibilidade cutanea
r21;eritema outras erupcoes cutaneas nao especificadas
r22;tumefacao massa tumoracao localizadas pele tecido subcutaneo
r220;tumefacao massa tumoracao localizadas cabeca
r221;tumefacao massa tumoracao localizadas pescoco
r222;tumefacao massa tumoracao localizadas tronco
r223;tumefacao massa tumoracao localizadas membro superior
r224;tumefacao massa tumoracao localizadas membro inferior
r227;tumefacao massa tumoracao localizadas multiplas localizacoes
r229;tumefacao massa tumoracao nao especificadas localizadas
r23;outras alteracoes cutaneas
r230;cianose
r231;palidez
r232;rubor
r233;equimoses espontaneas
r234;alteracoes textura pele
r238;outras alteracoes pele nao especificadas
r25;movimentos involuntarios anormais
r250;movimentos anormais cabeca
r251;tremor nao especificado
r252;caibras espasmos
r253;fasciculacao
r258;outros movimentos involuntarios anormais nao especificados
r26;anormalidades marcha mobilidade
r260;marcha ataxica
r261;marcha paralitica
r262;dificuldade andar nao classificada outra parte
r268;outras anormalidades marcha mobilidade nao especificadas
r27;outros disturbios coordenacao
r270;ataxia nao especificada
r278;outros disturbios coordenacao nao especificados
r29;outros sintomas sinais relativos aos sistemas nervoso osteomuscular
r290;tetania
r291;meningismo
r292;reflexos anormais
r293;postura anormal
r294;quadril estalante
r296;tendencia queda nao classificada outra parte
r298;outros sintomas sinais relativos aos sistemas nervoso osteomuscular nao especificados
r30;dor associada miccao
r300;disuria
r301;tenesmo vesical
r309;miccao dolorosa nao especificada
r31;hematuria nao especificada
r32;incontinencia urinaria nao especificada
r33;retencao urinaria
r34;anuria oliguria
r35;poliuria
r36;secrecao uretral
r39;outros sintomas sinais relativos ao aparelho urinario
r390;extravasamento urina
r391;outras dificuldades miccao
r392;uremia extra renal
r398;outros sintomas sinais relativos ao aparelho urinario nao especificados
r40;sonolencia estupor coma
r400;sonolencia
r401;estupor
r402;coma nao especificado
r41;outros sintomas sinais relativos funcao cognitiva consciencia
r410;desorientacao nao especificada
r411;amnesia anterograda
r412;amnesia retrograda
r413;outra amnesia
r418;outros sintomas sinais especificados relativos funcoes cognitivas consciencia
r42;tontura instabilidade
r43;disturbios olfato paladar
r430;anosmia
r431;parosmia
r432;parageusia
r438;outros disturbios olfato paladar nao especificados
r44;outros sintomas sinais relativos sensacoes percepcoes gerais
r440;alucinacoes auditivas
r441;alucinacoes visuais
r442;outras alucinacoes
r443;alucinacoes nao especificadas
r448;outros sintomas sinais especificados relativos sensacoes percepcoes gerais
r45;sintomas sinais relativos ao estado emocional
r450;nervosismo
r451;agitacao inquietacao
r452;tristeza
r453;apatia desinteresse
r454;irritabilidade mau humor
r455;hostilidade
r456;violencia fisica
r457;estado choque emocional tensao nao especificado
r458;outros sintomas sinais relativos ao estado emocional
r46;sintomas sinais relativos aparencia ao comportamento
r460;baixo nivel higiene pessoal
r461;aparencia pessoal bizarra
r462;comportamento estranho inexplicavel
r463;hiperatividade
r464;lentidao baixa reatividade
r465;personalidade suspeita evasiva
r466;inquietacao preocupacao exageradas acontecimentos estressantes
r467;verborragia pormenores circunstanciais mascarando motivo consulta
r468;outros sintomas sinais relativos aparencia ao comportamento
r47;disturbios fala nao classificados outra parte
r470;disfasia afasia
r471;disartria anartria
r478;outros disturbios fala nao especificados
r48;dislexia outras disfuncoes simbolicas nao classificadas outra parte
r480;dislexia alexia
r481;agnosia
r482;apraxia
r488;outras disfuncoes simbolicas nao especificadas
r49;disturbios voz
r490;disfonia
r491;afonia
r492;hipernasalidade hiponasalidade
r498;outros disturbios voz nao especificados
r50;febre origem desconhecida outras origens
r502;febre induzida drogas
r508;outra febre especificada
r509;febre nao especificada
r51;cefaleia
r52;dor nao classificada outra parte
r520;dor aguda
r521;dor cronica intratavel
r522;outra dor cronica
r529;dor nao especificada
r53;mal estar fadiga
r54;senilidade
r55;sincope colapso
r56;convulsoes nao classificadas outra parte
r560;convulsoes febris
r568;outras convulsoes nao especificadas
r57;choque nao classificado outra parte
r570;choque cardiogenico
r571;choque hipovolemico
r578;outras formas choque
r579;choque nao especificado
r58;hemorragia nao classificada outra parte
r59;aumento volume ganglios linfaticos
r590;aumento volume localizado ganglios linfaticos
r591;aumento volume generalizado ganglios linfaticos
r599;adenomegalia aumento volume ganglios linfaticos nao especificado
r60;edema nao classificado outra parte
r600;edema localizado
r601;edema generalizado
r609;edema nao especificado
r61;hiperidrose
r610;hiperidrose localizada
r611;hiperidrose generalizada
r619;hiperidrose nao especificada
r62;retardo desenvolvimento fisiologico normal
r620;retardo maturacao
r628;outras formas retardo desenvolvimento fisiologico normal
r629;retardo desenvolvimento fisiologico normal nao especificado
r63;sintomas sinais relativos ingestao alimentos liquidos
r630;anorexia
r631;polidipsia
r632;polifagia
r633;dificuldades alimentacao erros administracao alimentos
r634;perda peso anormal
r635;ganho peso anormal
r638;outros sintomas sinais relativos ingestao alimentos liquidos
r64;caquexia
r68;outros sintomas sinais gerais
r680;hipotermia nao associada baixa temperatura ambiental
r681;sintomas nao especificos peculiares infancia
r682;boca seca nao especificada
r683;baqueteamento dedos
r688;outros sintomas sinais gerais especificados
r69;causas desconhecidas nao especificadas morbidade
r70;velocidade hemossedimentacao elevada outras anormalidades viscosidade plasmatica
r700;velocidade hemossedimentacao elevada
r701;viscosidade plasmatica anormal
r71;anormalidade hemacias
r72;anormalidade leucocitos nao classificada outra parte
r73;aumento glicemia
r730;teste tolerancia glicose anormal
r739;hiperglicemia nao especificada
r74;anormalidades niveis enzimas sericas
r740;aumento niveis transaminases desidrogenase latica dhl
r748;niveis anormais outras enzimas sericas
r749;anormalidade niveis enzimas sericas nao especificada
r75;evidencia laboratorial virus imunodeficiencia humana hiv
r76;outros achados imunologicos anormais soro
r760;titulo aumentado anticorpos
r761;reacao anormal ao teste tuberculina
r762;exame sorologico falso positivo sifilis
r768;outros achados imunologicos especificados anormais soro
r769;achado anormal exame imunologico serico nao especificado
r77;outras anormalidades proteinas plasmaticas
r770;anormalidade albumina
r771;anormalidade globulinas
r772;anormalidade alfafetoproteina
r778;outras anormalidades especificadas proteinas plasmaticas
r779;anormalidades proteina plasmatica nao especificadas
r78;presenca drogas outras substancias normalmente nao encontradas sangue
r780;presenca alcool sangue
r781;presenca opiaceos sangue
r782;presenca cocaina sangue
r783;presenca alucinogeno sangue
r784;presenca outras drogas potencial causar dependencia sangue
r785;presenca droga psicotropica sangue
r786;presenca agente esteroide sangue
r787;presenca nivel anormal metais pesados sangue
r788;presenca outras substancias especificadas nao normalmente encontradas sangue
r789;presenca substancia nao especificada normalmente nao encontrada sangue
r79;outros achados anormais exames quimicos sangue
r790;anormalidade nivel elementos minerais sangue
r798;outros achados anormais especificados exames quimicos sangue
r799;achado anormal exame quimico sangue nao especificado
r80;proteinuria isolada
r81;glicosuria
r82;outros achados anormais urina
r820;quiluria
r821;mioglobinuria
r822;biliuria
r823;hemoglobinuria
r824;acetonuria
r825;niveis urinarios elevados drogas medicamentos substancias biologicas
r826;niveis urinarios anormais substancias cuja origem essencialmente nao medicinal
r827;achados anormais ao exame microbiologico urina
r828;achados anormais ao exame citologico histologico urina
r829;outros achados anormais urina nao especificados
r83;achados anormais liquido cefalorraquidiano
r830;achados anormais liquido cefalorraquidiano nivel enzimatico anormal
r831;achados anormais liquido cefalorraquidiano nivel hormonal anormal
r832;achados anormais liquido cefalorraquidiano nivel anormal outras drogas medicamentos substancias biologicas
r833;achados anormais liquido cefalorraquidiano nivel anormal substancias cuja origem essencialmente nao medicinal
r834;achados anormais liquido cefalorraquidiano achados imunologicos anormais
r835;achados anormais liquido cefalorraquidiano achados microbiologicos anormais
r836;achados anormais liquido cefalorraquidiano achados citologicos anormais
r837;achados anormais liquido cefalorraquidiano achados histologicos anormais
r838;achados anormais liquido cefalorraquidiano outros achados anormais
r839;achados anormais liquido cefalorraquidiano achado anormal nao especificado
r84;achados anormais material proveniente orgaos respiratorios torax
r840;achados anormais material proveniente orgaos respiratorios torax nivel enzimatico anormal
r841;achados anormais material proveniente orgaos respiratorios torax nivel hormonal anormal
r842;achados anormais material proveniente orgaos respiratorios torax nivel anormal outras drogas medicamentos substancias biologicas
r843;achados anormais material proveniente orgaos respiratorios torax nivel anormal substancias cuja origem essencialmente nao medicinal
r844;achados anormais material proveniente orgaos respiratorios torax achados imunologicos anormais
r845;achados anormais material proveniente orgaos respiratorios torax achados microbiologicos anormais
r846;achados anormais material proveniente orgaos respiratorios torax achados citologicos anormais
r847;achados anormais material proveniente orgaos respiratorios torax achados histologicos anormais
r848;achados anormais material proveniente orgaos respiratorios torax outros achados anormais
